,name,stTime,isDay,Temp,PoPs,wdSpd,wdDir,icon,longFcst
0,This Afternoon,2024-07-22T17:00:00,True,87,40.0,10 mph,S,tsra,"A chance of showers and thunderstorms. Mostly cloudy, with a high near 87. South wind around 10 mph. Chance of precipitation is 40%."
1,Tonight,2024-07-22T18:00:00,False,70,80.0,0 to 5 mph,SE,tsra,"A chance of showers and thunderstorms before 7pm, then showers and thunderstorms. Mostly cloudy, with a low around 70. Southeast wind 0 to 5 mph. Chance of precipitation is 80%. New rainfall amounts between a quarter and half of an inch possible."
2,Tuesday,2024-07-23T06:00:00,True,85,60.0,0 to 5 mph,SW,tsra,"Rain showers likely before 1pm, then a chance of showers and thunderstorms between 1pm and 4pm, then a chance of showers and thunderstorms. Mostly cloudy, with a high near 85. Southwest wind 0 to 5 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
3,Tuesday Night,2024-07-23T18:00:00,False,71,70.0,0 to 10 mph,SE,tsra,"A chance of showers and thunderstorms before 8pm, then showers and thunderstorms likely. Mostly cloudy, with a low around 71. Southeast wind 0 to 10 mph. Chance of precipitation is 70%. New rainfall amounts between a quarter and half of an inch possible."
4,Wednesday,2024-07-24T06:00:00,True,85,70.0,0 to 5 mph,S,tsra,"Showers and thunderstorms likely. Mostly cloudy, with a high near 85. South wind 0 to 5 mph. Chance of precipitation is 70%. New rainfall amounts between a quarter and half of an inch possible."
5,Wednesday Night,2024-07-24T18:00:00,False,71,70.0,0 to 5 mph,SW,tsra,"Showers and thunderstorms likely before 8pm, then a chance of showers and thunderstorms. Mostly cloudy, with a low around 71. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
6,Thursday,2024-07-25T06:00:00,True,86,60.0,0 to 5 mph,SW,tsra,"A chance of showers and thunderstorms before 2pm, then showers and thunderstorms likely. Mostly cloudy, with a high near 86. Chance of precipitation is 60%."
7,Thursday Night,2024-07-25T18:00:00,False,68,60.0,5 mph,W,tsra_sct,"Showers and thunderstorms likely before 8pm, then a chance of showers and thunderstorms between 8pm and 2am. Mostly cloudy, with a low around 68. Chance of precipitation is 60%."
8,Friday,2024-07-26T06:00:00,True,87,,5 mph,NW,sct,"Mostly sunny, with a high near 87."
9,Friday Night,2024-07-26T18:00:00,False,66,,0 to 5 mph,NW,few,"Mostly clear, with a low around 66."
10,Saturday,2024-07-27T06:00:00,True,88,,0 to 5 mph,NE,few,"Sunny, with a high near 88."
11,Saturday Night,2024-07-27T18:00:00,False,66,,0 to 5 mph,SW,few,"Mostly clear, with a low around 66."
12,Sunday,2024-07-28T06:00:00,True,90,,0 to 5 mph,NE,few,"Sunny, with a high near 90."
13,Sunday Night,2024-07-28T18:00:00,False,66,,0 to 5 mph,S,few,"Mostly clear, with a low around 66."
